Source	Target	Explanation
traffic jam on a highway	nature of a density wave	Density wave theory was proposed by C.C Lin and Frank Shu and this theory was proposed in order to explain the spiral arm structure of spiral galaxies. In 1964 Lin and Shu proposed that arms were not material but they are similar to traffic jam on a highway as the vehicles move through the traffic jam the density of vehicles increases in middle and makes the vehicles not to move as a result there is a high density of vehicles. If you were in one of the vehicle then it seems that you carry its high density group along with you similarly if you see this situation from helicopter it seems to be a density wave.
key hole	enzymes	Just like there is a key hole in every vehicle and only the owner's key will be able to unlock the vehicle,  the same way there are active sites on the enzyme which will bind only to specific substrates. Every lock is unlocked by it's true key in the same way an enzyme will bind to it's substrate. Each enzyme is specific for it's own substrate.
computer	human active memory system	In our day to day life we need strong and healthy memory power to make life easy and best. There are 3 basic components of memory which makes learn it easily.1) encoding 2) storage and 3) retrieval. Encoding is defined as the first step of learning information. In computer we find some data which is having large size, we make it small in size and shape it into farmat of encoding, for this we use sign & symbols. In human beings encoding is a process when our brain is trying to learn new memories. To make this process completed brain need to concentrate on the topic ecause other side brain is doing others activities too,such as control the body's different parts, imagination etc. Storage : when the information completed we need to save it, this process is called storage. In computer there are 2 types of storage.1) Ram 2) Hard drive. If we talk about human brain, so brain is a unique and huge place to save information how much you want. But the things all we need is to provide some important symbols or strategy to remember back all these information with the learning and storage process. Retrieval : In simple words we can say retrieval is a process when we want to get back information. Copmuter can get back easily the information which we want just type and select it but for brain it takes time to recall the information but if we use smarter method to save information into a brain then easily we get it.
buying stamps at the post office, when there is a long line of customers	rate-determining step of a reaction	The process consists of several steps: Waiting in line, requesting the stamps, receiving the stamps, and paying for the stamps, at a time when the line is very long, the amount of time spent in line (step - 1) largely determines how much time the overall process takes.
slowest moving car in traffic	rate-determining step of a reaction	Rate determining step determines the rate law of the chemical reaction. A reaction may consist of several elementary steps, the one which is the slowest step in the sequence of steps leading to the product formation is the rate determining step. Similarly, in flow of traffic along a narrow road, assuming the cars cannot pass one another on the road, the rate at which the car traveling is governed by the slowest moving car.
separating bees and wasps	column chromatography	There is a jar which contains several bees and wasps. we need to separate wasps from bees. Let them all fly through a tube which contains flowers but also has enough space for the bees and wasps to pass through so that they can exit the tube at the other end. Bees will be attracted to flowers and stay on them while wasps will come out of the tube first. Here wasps and bees represent mixture of proteins that need to be separated. The stationary phase of chromatography in this analogy is the flower in the tube, the mobile phase is the air through which these animals fly.The princple of separation here is the differential attraction of these animals towards the stationary phase that is the flower.
two jugglers	dynamic chemical equilibrium	A dynamic Chemical equilibrium means rate of forward reaction( ie the reactants react to give products) become equal to rate of backward reaction (ie the products can react to gives back the original reactants ), i.e. two opposing process occuring at the same rate. Here, the concentrations of reactants and products are not necessarily equal. Dynamic Chemical Equilibrium reactions occures in reversible reactions. An analogy of Dynamic Chemical Equilibrium in real life is Two Jugglers analogy. Here, each juggler throws balls or clubs to the other at the same rate he receives clubs from that person. Here clubs are thrown continuously in both directions & number of clubs moving in each direction is constant & number of clubs at each juggler has at a given time remains constant.
storage bags	vacuole	Both are used to store some material.
delivery truck	transport vesicles	Both are used to deliver the prepared material to the destination site.
car accelerator	proto-oncogenes	Generally, proto-oncogenes are the molecules which is responsible for promoting the cell cycle. In other words, they help in proliferation of new cells through cell division. Thus, proto-oncogene can be considered as an accelerator of car. When the accelerator of the car is pushed down, the car moves forwards (promoting car movement).
car accelerator stuck in down position	oncogenes	Oncogenes refer to the molecules, which can cause proliferation of cells continuously without requiring any signals. In other words, endless cell division occurs and cancer ensues. Thus, oncogene is considered as an accelerator which is stuck in down position. If accelerator is stuck in down position, the car will move forward without stopping.
car brakes	tumor suppressor genes	Tumor suppressor genes control the cell cycle by inhibiting the cell division process. Thus, these genes can be considered as brakes of a car, as they stop the car from moving forwards. If one tumor suppressor gene allele is mutated, then cell cycle disruption occurs, but can be compensated by other gene. But if both the alleles are mutated, then cell cycle progression occurs continuously leading to proliferation of cells and cancer formation. Thus, the brakes are not working (brake failure) and car moves forwards without stopping.
jenga	brittle software	The game Jenga includes expelling wood obstructs from a structure and setting the evacuated obstructs on the structure until somebody's stumble (either on expelling a piece or on putting it unstably over the destabilizing structure) prompts it slamming down. This to me is the ideal analogy for brittle software. I utilize the expression "brittle software" in this setting to mean software that engineers are hesitant to change because of a paranoid fear of breaking  it or exacerbating it.
rhinoceros	resonance hybrid	One of the most common analogies used to explain the concept of a resonance hybrid is to relate a rhinoceros to a unicorn and a dragon. Both the unicorn and the dragon are legendary creatures that originated from different traditional mythology and are believed to be real. When we think of the rhinoceros, unicorn and dragon, we find that they are like a resonance hybrid. The rhinoceros has characteristics of the unicorn and the dragon, but the actual rhinoceros can neither be explained fully by the unicorn nor by the dragon. Thus, when describing the rhinoceros, we must use the unicorn and the dragon that do not exist in reality. Thus, we can say that the unicorn and the dragon are like the resonating structures and the rhinoceros is like a resonance hybrid in the concept of resonance.
firefly in a dark room	wave mechanical model	If a firefly is in a dark room and you are watching it, it is nearly impossible to predict where you will see the firefly next. In general, if an average is taken to represent the location that is most probable for the firefly to be, it would be near the center of the room. Like the firefly, an electron of a hydrogen atom is constantly in motion and it is impossible to know its exact location or to pinpoint its location. A model can be drawn, however, which represents the most probable location of the electron which will be toward the center, or the nucleus.
listening to a game	electroencephalogram	Electroencephalogram is a noninvasive technique for brain imaging. It measures electrical activity that happens in brain using node placed on the head of the person. Since all communication inside the brain is triggered through electrical impulses, the analogy compares the listening to a game to listening to electrical activity inside the brain. The listening opens in a non- invasive manner and hence the reference to listening from outside the stadium.
photocopier machine	dna replication	Compare DNA replication with the work of a photocopier machine which generates as many number of copies as desired. The DNA Replication performed by DNA Polymerase also produces the exact number of copies. In photocopy machine, the plain paper sheets are used, in DNA replication the dNTPs are used.
book printing	dna replication	As DNA replication produce the same sequence as that of the replicating DNA same way book printing also gives us the exact copy of the same book
language translation	rna transcription	RNA transcription can be compared with the task of a person who, in order to facilitate easy comprehension is translating one script into the other. Consider a person translating Sanskrit Language into Hindi Language, which is easily comprehensible to the people of India.
language translation	protein translation	Protein translation is same as translation work done by a person, who is translating one language into the other, like translating Hebrews to English.
cities	ecosystem	Both ecosystem and cities exist due to the mutual interaction between the dwellers. Ecosystem mainly comprises of biotic factors and the cities comprises of biotic as well as abiotic factors. In cities it is very much clear that humans are dominant in every aspects but in ecosystem, the intrusion of human activities are less. It is a natural phenomena that every organisms do manipulate their environment to make their habitat. In cities human destroys most of the biotic factofor his need but in ecosysytem sustainability is of great importance.
falling dominoes	propagation of an action potential down a neuron	Falling dominoes is an analogy to explain the propagation of an action potential down a neuron. This analogy works because the direction of an action potential is only one way and the direction of the dominoes falling is also only one way. The signal in both cases only moves forward so it is a perfect analogy. Falling dominoes can simulate how a nerve cell is triggered and how it sends its impulse from one end of the cell to the other.
blowing of the balloon	breathing mechanism of frogs	The blowing of the balloon can be considered as an appropriate mechanism of breathing for frog because in balloon, it is blown up as soon as one pushes or puts in air within it and the air is blown into the balloon with help of mouth. It is similar to frog because in frog the respiration is known as bucco-pharyngeal respiration. It is the mouth respiration and which takes place through the buccopharyngeal cavity. The buccal cavity consists of mucous membrane which have a huge supply of blood capillaries and it tends to absorb the oxygen. It absorbs the oxygen through the expansion and contraction of the sternohyals muscles. The oxygen enters through the moist mucous cavity and diffuses into blood capillaries. The CO2 is diffused out of the cavity and passes out through the nares as expiration takes place. As this type of respiration takes place, the desired amount of air comes in and goes out and hence this tends to be similar to the mechanism of the balloon blowing which thrust air and blows up the balloon. As the frog tends to inhale and take in the air, it tends to expand the muscles.
communication with translators	layered architecture	Assume that there are two locations namely location X and location Y. A person in location X wants to communicate with another person on location Y but the person on X knows only Dutch and the person on Y knows only French. In order to make the communication possible, the person in location X first communicates the message to another person ( Translator) in the same location X who can understand Dutch and translate it into English. This person will communicate this message to another person in the same location X who in turn will take this message to location Y and communicate it to the person who is responsible for taking this message to the translator on location Y. Finally the translator will translate the message in French and communicate it to the person on location Y.
chocolate distribution	limiting reactant and excess reactant	I have 10 chocolates which I want to distribute among 5 students. The condition is that each student should get exactly 2 chocolates. Now if I bring 15 chocolates, but the number of students is same, then still I can be able to give 10 chocolates with each student getting 2 chocolates. So number of chocolates I bring is analogous to excess reactant and number of students is analogous to limiting reactant.
working office	eukaryotic cell	In a office, there present a main office that is of Manager and there present different employees who works in their particular space ( cabins). Thus division of labor is present in an office. The main commanding and controlling system is manager office which is analogous to nucleus. The individual cabins of employees are analogous to membrane bound organelles. The office as a whole acts as eukaryotic cell. Employees works together for the command given by the manager in same way eukaryotic cells organelles work in a coordinated manner under the commands of nucleus.
self started business	prokaryotic cell	In a small business that is regulated by only one person, the person is the main commanding system. And there is no layering and division of labor. Family and friends help this individual for his work. But there is no division of labor. There is no individual employees for a particular function. This is analogous to the prokaryotic cell having no membrane bound organelles. As the small businesses is usually started and function in a small space ( like basement, room etc) thus it is analogous to no membrane bound system inside the cell. All the function is done in this space.
college library	operating systems kernel	In a computer, there are many (user) programs. These programs need resources from the computer, but do not generally bother with what other processes are running. You need the kernel to fairly apportion resources and also free the developers of individual programs of the deadweight of predetermining what else should be executing on the computer and precisely how everything else should behave. Consider a college library with just enough books that every student gets exactly one copy of the course material for his or her respective year. Without the librarian, you may get a dozen unruly freshmen pillaging the library for every book the might need till they graduate. So, now when the conscientious sophomore comes in to get his copy of the books, he finds they are all taken. Here, librarian is like the kernel.
a cup of coffee granules	limiting reactant	To prepare a nice coffee we require certain ingredients. To make a cup of coffee you require one cup of milk, one teaspoon sugar, one teaspoon coffee granules and half teaspoon chocolate. Suppose 5 friends arrive at home and want a cup of coffee. You now require the necessary ingredients. You have five cups of milk, five teaspoons of sugar, three teaspoons of coffee granules and three teaspoons of chocolate. Now you have enough milk, sugar and chocolate to prepare five cups of coffee but you have only three teaspoon of coffee granules, so you can make only three cups of coffee. If you try to make five cups of coffee your coffee granules will run out first and hence it will limit the coffee up to three cups. Thus, the coffee granules will limit the number of cups of coffee you can prepare. Here coffee granules will act as a limiting reactant. Hence we can say that the reactant which runs out first during the reaction and limits the formation of the product is a limiting reactant.
engine	limiting reactant	Suppose we are making automobile . For each engine we need 4 wheels. If we only have 4 wheels and one engine, then all wheels are used to manufacture an automobile engine. But if we have 6 wheels and one engine, then we require only 4 wheels for the engine and 2 wheels are left. Hence, 2 wheels are excess. Thus, engine is limiting reagent and wheels are excess.
zipper zip	helicase	The DNA replication enzyme helicase unwinds the double helix. In this way, helicase is similar to the zip on a zipper, because the zip separates the zipper.
hands holding open two strips of magnet	dna replication binding proteins	The DNA replication binding proteins serve to stabilize each single strand of DNA to prevent the strands from rejoining. These proteins are similar to hands holding open two strips of magnets so that they cannot touch on one end.
sewing machine	ligase	The DNA replication enzyme ligase binds adjacent DNA segments with covalent bonds. Ligase is similar to a sewing machine, as it binds two elements together.
inode	process control block	An inode block stores the metadata information of a file, same way a process control block stores the metadata information about a process. When a file is created in UNIX or Linux , the address of the file, no of links, file permission, user id , group id , file size etc are stored in the inode block same way when a process is created the process id, process state, process counter, registers etc are stored in the process control block. So it is said inode of a file is same a process control block to a process because a file cannot be generated or operated without a inode same way a process cannot be generated or operated without a process control block.
speaking	message encoding	One of the first steps to sending a message is encoding. Encoding is the process of converting information into another acceptable form, for transmission. Decoding reverses this process to interpret the information. Imagine a person calls a friend to discuss the details of a beautiful sunset. To communicate the message, she converts her thoughts into an agreed upon language. She then speaks the words using the sounds and inflections of spoken language that convey the message. Her friend listens to the description and decodes the sounds to understand the message he received.
lock and key	interaction between drugs and receptor sites	Just as specific keys fit only specific locks, a molecular match between a drug and its receptor site is required for physiological function.
foot fitting in footprint	interaction between drugs and receptor sites	A receptor site is like a size 9 right foot print in the sand. Now only one foot will fit it exactly, and all other feet larger than or smaller than size 9 will not fit. The foot print in the sand is a lock and the foot that exactly fits this foot print is the key to it.
human face	monitor	An monitor has a display that shows what the computer is doing or how it feels. Just like different expressions may be seen on the human face.
brain	cpu	The CPU performs as the body's brain. The CPU is perhaps the most important part of a computer since it controls the computer in the same fashion that the brain controls the human body.
skeleton	motherboard	The motherboard operates as the computer's main structure, just like the skeleton operates as the human body's core structure.
pre-frontal lobe	ram	The RAM is a type of hardware that operates as the computer's short-term memory; similarly, the pre-frontal lobe of the brain functions as the body's short-term memory.
energy	power supply unit	The computer's power supply unit is analogous to the energy required by the human body. The computer need energy to acquire and collect information, whereas humans require nourishment to work and accomplish things.
hands	keyboard	The keyboard is a computer accessory that allows you to type commands into the computer. The hands are similar, they get instructions from the brain and may investigate items that aren't visible to the eyes.
senses	mouse	The mouse is an input device that sends external data to the computer's internal processors (CPU) and data storage devices. It is similar to the eyes, ears, and other senses in that it delivers external data to the brain.
ear	audio card	An audio card converts the information into sound. It allows users to listen to music from their computers through speakers or headphones. That's the computer's ear, which functions similarly to the human ear in converting sounds into information that the brain can grasp.
eye	video card	A video card connects to the motherboard of a computer and generates images for display. In a similar way to the mechanism, the eye connects to the brain and provides visual information from the outer world.
coral's age calculation	tree's age calculation	Certain types of corals will grow a ring of calcite during the day when the sun is out and there will be a gap of growth at night. These rings grow faster and/or thicker at certain times of the year. Each ring represents a day, and you can see yearly cycles in the growth. This allows to you to see how long the year is. Pairing this with what we know about how long a year has been through out history we can then tell exactly how old that Coral was/is and how far back in the earths history it was living. Similarly, a tree's rings are a great indicator of their age. It can be calculated using a form of half life algebra.
roller coaster	glycolysis	If investing energy is considered as pulling the coaster up the hill, then the initial steps of glycolysis when glucose is converted to glucose 6-phosphate and fructose 6-phosphate is converted to Fructose1,6-bisphosphate ATP is broken down to ADP and Pi and thus the roller coaster moves uphill. But in the next steps after production of two molecules of glyceraldehyde3-phosphate from fructose 1,6-bisphosphate, the glyceraldehyde 3-phosphate is converted to two molecules of1, 3,-diphosphoglycerate and in the process 2 NADH is made from 2 NAD+. Also in the next step from two molecules of 1, 3,-diphosphoglycerate to two molecules of  3- phosphoglycerate production 2 ATP molecules are made. These two molecules of 3 phosphoglycerate changes to two molecules of 2 phosphoglycerate and subsequently to two molecules of phosphoenolpyruvate. these two molecules of phosphoenolpyruvate changes to 2 molecules of pyruvate and forms 2 ATP in the process. So total ATP formed is 4. In the uphill task 2 ATP molecules were used, so the net gain of ATP from glycolysis is 4-2=2 ATP molecule. As ATP molecule is formed in the process, energy equivalents are made and so the roller coaster moves downhill, energy instead of being used is being made. So the rest of the ride is down the hill, along the gradient.
ball striking a plate	anti-stokes scattering	Imagine a ball striking a plate mounted on an oscillating spring. When the ball strikes the plate at the right time when the plate just passes through its center and has maximum velocity, the recoil velocity of the ball will also be maximum and it will thus possess a higher energy after reflection(analogous to shorter wavelength) thereby describing Anti-Stokes scattering.
ball striking a plate	stokes scattering	Imagine a ball striking a plate mounted on an oscillating spring. If the ball strikes out of phase to the oscillating plate when the plate is just about to come to rest at its maximum displacement, the recoil of the ball will be small and the ball will not have enough energy after reflection. Here, the ball is analogous to a photon and it implies that the ball now has less energy (larger wavelength) which paints the picture of Stokes scattering.
balls and target	median lethal dose	Suppose you have 10 targets and you have a box full of balls and you have to hit those targets by these balls. To hit the 50% of the target, number of balls required is your value of median lethal dose.
