Nadh is a molecule that helps turn food into energy in the body.	nadh	Explain nadh in plain language to a second grader.
The rate-determining step of a reaction is the slowest step in the reaction. This is the step that determines how fast the reaction will happen.	rate-determining step of a reaction	Explain rate-determining step of a reaction in plain language to a second grader.
Column chromatography is a way to separate different substances in a mixture. The mixture is put into a column, and a solvent is poured over it. The different substances in the mixture will move through the column at different speeds, and will end up in different places in the column. The different substances can then be separated by taking the column apart and looking at the different places where the substances ended up.	column chromatography	Explain column chromatography in plain language to a second grader.
Dynamic chemical equilibrium is when two substances react with each other to form a new substance, and then the new substance breaks down into the two original substances.	dynamic chemical equilibrium	Explain dynamic chemical equilibrium in plain language to a second grader.
A vacuole is a small, round, and clear part of a cell that helps the cell to function.	vacuole	Explain vacuole in plain language to a second grader.
Transport vesicles are tiny sacs that carry things around inside of cells. They help to move things around so that the cell can work properly.	transport vesicles	Explain transport vesicles in plain language to a second grader.
Proto-oncogenes are genes that can cause cancer. They are normal genes that can become cancer-causing genes if they are changed in some way.	proto-oncogenes	Explain proto-oncogenes in plain language to a second grader.
Oncogenes are genes that can cause cancer. They are sometimes called cancer genes.	oncogenes	Explain oncogenes in plain language to a second grader.
Tumor suppressor genes are genes that help keep cells from becoming cancerous. If a cell has a tumor suppressor gene, it is less likely to become cancerous.	tumor suppressor genes	Explain tumor suppressor genes in plain language to a second grader.
Brittle software is software that breaks easily.	brittle software	Explain brittle software in plain language to a second grader.
Resonance hybrid is a model that helps us understand the bonding in molecules. It shows how the different orbitals of the atoms in a molecule can overlap and how the electrons can move around.	resonance hybrid	Explain resonance hybrid in plain language to a second grader.
The wave mechanical model is a way of understanding how atoms and molecules interact with each other. It uses waves to represent the movement of atoms and molecules. This model can help us understand how molecules interact with each other to create substances like water and air.	wave mechanical model	Explain wave mechanical model in plain language to a second grader.
An electroencephalogram is a test that records the electrical activity of your brain.	electroencephalogram	Explain electroencephalogram in plain language to a second grader.
DNA replication is the process by which a DNA molecule is copied. The process begins when an enzyme called DNA polymerase binds to the DNA molecule. The polymerase then copies the DNA molecule, creating two new DNA molecules.	dna replication	Explain dna replication in plain language to a second grader.
RNA transcription is the process of copying genetic information from DNA to RNA. This process is necessary for the cell to create proteins, which are essential for life.	rna transcription	Explain rna transcription in plain language to a second grader.
Protein translation is the process of turning the genetic code in a gene into a protein. The genetic code is a set of instructions that tell the cell how to make a protein. The code is made up of a sequence of three letters called codons. Each codon tells the cell which amino acid to add to the protein.	protein translation	Explain protein translation in plain language to a second grader.
An ecosystem is a community of different plants and animals that live together.	ecosystem	Explain ecosystem in plain language to a second grader.
When an action potential reaches a neuron, it causes sodium ions to flow into the neuron. This makes the neuron more likely to fire an action potential. The action potential then travels down the neuron until it reaches the end.	propagation of an action potential down a neuron	Explain propagation of an action potential down a neuron in plain language to a second grader.
The frog's breathing mechanism is very simple. It just uses its mouth to take in air and then release carbon dioxide.	breathing mechanism of frogs	Explain breathing mechanism of frogs in plain language to a second grader.
A layered architecture is a way of organizing a computer program so that the different parts of the program can work together. The different parts of the program are called layers, and each layer does a different job. The bottom layer is the foundation of the program, and the top layer is the part that the user sees.	layered architecture	Explain layered architecture in plain language to a second grader.
A limiting reactant is a reactant that is used up first in a chemical reaction. An excess reactant is a reactant that is not used up in a chemical reaction.	limiting reactant and excess reactant	Explain limiting reactant and excess reactant in plain language to a second grader.
A eukaryotic cell is a cell that has a nucleus and other organelles inside it. The nucleus contains the cell's DNA, which tells the cell what proteins to make. The other organelles help the cell do its job, like breaking down food, making energy, or getting rid of waste.	eukaryotic cell	Explain eukaryotic cell in plain language to a second grader.
A prokaryotic cell is a simple type of cell that doesn't have a nucleus or other organelles. Prokaryotic cells are found in bacteria and other single-celled organisms.	prokaryotic cell	Explain prokaryotic cell in plain language to a second grader.
The kernel is the part of the operating system that controls the basic functions of the computer. It manages the communication between the hardware and the software, and it also controls the allocation of resources to different applications.	operating systems kernel	Explain operating systems kernel in plain language to a second grader.
A limiting reactant is a reactant that is used up first in a chemical reaction.	limiting reactant	Explain limiting reactant in plain language to a second grader.
Helicase is a protein that helps to unzip DNA so that it can be copied.	helicase	Explain helicase in plain language to a second grader.
DNA replication binding proteins help to attach the DNA molecule to the replication machinery. This helps to ensure that the DNA is copied accurately.	dna replication binding proteins	Explain dna replication binding proteins in plain language to a second grader.
Ligase is a protein that helps to join two pieces of DNA together.	ligase	Explain ligase in plain language to a second grader.
A process control block (PCB) is a data structure in a computer operating system that stores information about a process, such as its state, CPU time, memory usage, and open files.	process control block	Explain process control block in plain language to a second grader.
When you encode a message, you put it into a special code that only the people who know the code can understand.	message encoding	Explain message encoding in plain language to a second grader.
When a drug molecule attaches to a receptor site on a cell, it can change the way the cell behaves. This is what causes the effects of drugs.	interaction between drugs and receptor sites	Explain interaction between drugs and receptor sites in plain language to a second grader.
A monitor is a device that helps you see what is happening on your computer.	monitor	Explain monitor in plain language to a second grader.
The cpu is the "brain" of the computer. It processes all the instructions that you give it.	cpu	Explain cpu in plain language to a second grader.
A motherboard is a large, flat piece of plastic that holds all of the important parts of a computer. The motherboard is like the skeleton of the computer, and all of the other parts (like the processor, memory, and hard drive) attach to it.	motherboard	Explain motherboard in plain language to a second grader.
Ram is a type of computer memory. It is a type of storage that is used to store data and programs while the computer is turned off.	ram	Explain ram in plain language to a second grader.
A power supply unit is a device that provides power to a computer. It converts the AC power from the wall into the DC power that the computer needs.	power supply unit	Explain power supply unit in plain language to a second grader.
A keyboard is a tool that helps you type on a computer.	keyboard	Explain keyboard in plain language to a second grader.
A mouse is a small, furry creature that lives in people's homes. They eat cheese and other kinds of food. People use mice to play computer games and to move the cursor on the screen.	mouse	Explain mouse in plain language to a second grader.
An audio card is a computer component that allows a computer to play sound.	audio card	Explain audio card in plain language to a second grader.
A video card is a computer part that helps your computer display images on the screen.	video card	Explain video card in plain language to a second grader.
The tree's age calculation means that the tree is about 7 years old.	tree's age calculation	Explain tree's age calculation in plain language to a second grader.
Glycolysis is the process that breaks down glucose (sugar) to produce energy for the body's cells.	glycolysis	Explain glycolysis in plain language to a second grader.
Anti-stokes scattering is when a photon (a particle of light) is scattered in the opposite direction of the incoming photon. This happens when the photon hits an atom and the atom's electrons change energy levels.	anti-stokes scattering	Explain anti-stokes scattering in plain language to a second grader.
Stokes scattering is when light bounces off of something and changes direction.	stokes scattering	Explain stokes scattering in plain language to a second grader.
The median lethal dose is the dose of a substance that is expected to kill half of the people who are exposed to it.	median lethal dose	Explain median lethal dose in plain language to a second grader.
The universe is everything that exists. It includes planets, stars, and all the space in between.	universe	Explain universe in plain language to a second grader.
Enzymes are proteins that help chemical reactions happen in the body. They work by attaching to the chemical that needs to be changed, and then they help it change by making it easier to do.	enzyme mechanism	Explain enzyme mechanism in plain language to a second grader.
An anova is a way of testing whether there is a difference between the means of two or more groups.	anova	Explain anova in plain language to a second grader.
A thermostat is a device that helps control the temperature in a room. It does this by sensing the temperature in the room and then turning on or off the heating or cooling system to make the room cooler or warmer.	thermostat	Explain thermostat in plain language to a second grader.
Chemical equilibrium is when two substances react with each other to form a new substance, and the new substance is in equilibrium with the two original substances.	chemical equilibrium	Explain chemical equilibrium in plain language to a second grader.
Just-in-time is a way of organizing work so that you only produce what you need, when you need it. This saves time and money because you don't have to store or produce things that you won't use right away.	just-in-time	Explain just-in-time in plain language to a second grader.
Adaptive immunity is a system in the body that helps it remember and fight infections. The body's cells remember how to fight a virus or bacteria after they have seen it before. This is different from the body's other defense system, innate immunity, which does not remember how to fight infections.	adaptive immunity	Explain adaptive immunity in plain language to a second grader.
Ohm's law states that the current through a conductor is directly proportional to the voltage across the conductor. This law is named after the German physicist Georg Simon Ohm.	ohm's law	Explain ohm's law in plain language to a second grader.
Transcription is the process of copying a gene's DNA sequence into a molecule of messenger RNA (mRNA).	transcription	Explain transcription in plain language to a second grader.
RNA polymerase is a protein that helps create new RNA molecules from DNA. It does this by reading the genetic code in DNA and creating a new RNA molecule that matches the code.	rna polymerase	Explain rna polymerase in plain language to a second grader.
Ribosomes are tiny machines in our cells that help us to grow and stay healthy. They do this by reading the instructions in our DNA to create new proteins.	ribosome	Explain ribosome in plain language to a second grader.
The activator protein is a protein that helps to turn on other genes in the cell.	activator protein	Explain activator protein in plain language to a second grader.
An electric circuit is a path that electricity can flow through. Electricity is made up of tiny particles called electrons. When you turn on a light switch, it sends a signal to a power plant, which turns on a machine that makes electricity. The electricity flows through wires to the light switch, and then to the light bulb. The light bulb has a special material inside it called a filament. When the electricity flows through the filament, it gets hot and glows, making the light bulb turn on.	electric circuit	Explain electric circuit in plain language to a second grader.
Water molecules are attracted to each other by a force called cohesion. This force pulls the water molecules close together and makes them form droplets. The water molecules are also attracted to the surface of whatever they are sitting on. This force is called adhesion. The water molecules on the surface of an object are attracted to the molecules on the surface of the water droplet. This force is called cohesion. The water molecules on the surface of the droplet are also attracted to the air. This force is called adhesion. The water droplet will try to get as close to the air as possible. This is because the water molecules on the surface of the droplet are attracted to the air more than they are attracted to each other.	hydrophobic effect	Explain hydrophobic effect in plain language to a second grader.
Biological signal transduction is the process by which a signal is transmitted from one cell to another. This can happen through chemical messengers called hormones, or through electrical signals.	biological signal transduction	Explain biological signal transduction in plain language to a second grader.
